plot           , Pouteria torta , Stryphnodendron adstringens , Pouteria ramiflora , Psidium laruotteanum , Piptocarpha rotundifolia , Leptolobium dasycarpum , Diospyros hispida , Eremanthus glomerulatus , Palicourea rigida , Anadenanthera falcata , Handroanthus ochraceus , Kielmeyera coriacea , Annona crassiflora , Connarus suberosus , Ouratea spectabilis , Miconia albicans , Erythroxylum suberosum , Erythroxylum engleri , Eriotheca pubescens , Casearia sylvestris , Aspidosperma tomentosum , Ouratea hexasperma , Plathymenia reticulata , Eriotheca gracilipes , Myrcia bella , Dimorphandra mollis , Guapira noxia , Tabebuia aurea , Byrsonima coccolobifolia , Davilla elliptica , Erythroxylum tortuosum , Myrcia camapuanensis , Stryphnodendron rotundifolium , Himatanthus obovatus , Myrcia guianensis , Caryocar brasiliense , Kielmeyera grandiflora , Machaerium acutifolium , Hymenaea stigonocarpa , Qualea parviflora , Schefflera macrocarpa , Solanum , Cybistax antisyphilitica , Eugenia aurata , Eugenia punicifolia , Myrcia variabilis , Vochysia cinnamomea , Agonandra brasiliensis , Hancornia speciosa , Lafoensia pacari , Miconia ferruginata , Miconia ligustroides , Plenckia populnea , Asteraceae , Bowdichia virgilioides , Cipo escandente , Pterodon pubescens , Rourea induta , Schefflera vinosa
beta06burned   , 5              , 2                           , 18                 , 0                    , 10                       , 0                      , 1                 , 3                       , 5                 , 2                     , 3                      , 3                   , 2                  , 0                  , 1                   , 0                , 1                      , 0                    , 0                   , 0                   , 0                       , 0                  , 1                      , 1                    , 0            , 0                   , 0             , 0              , 2                        , 0                 , 0                      , 0                    , 0                             , 0                    , 0                 , 0                    , 0                      , 0                      , 0                     , 0                 , 0                     , 0       , 0                        , 0              , 0                   , 0                 , 0                   , 0                      , 0                  , 0                , 0                   , 0                    , 0                 , 0          , 0                      , 0               , 0                  , 0             , 0
beta06unburned , 5              , 5                           , 2                  , 3                    , 2                        , 2                      , 2                 , 2                       , 0                 , 0                     , 6                      , 10                  , 2                  , 4                  , 1                   , 1                , 5                      , 0                    , 1                   , 0                   , 0                       , 1                  , 0                      , 0                    , 2            , 0                   , 0             , 1              , 1                        , 0                 , 0                      , 0                    , 0                             , 0                    , 0                 , 0                    , 0                      , 0                      , 0                     , 0                 , 0                     , 0       , 0                        , 0              , 0                   , 0                 , 0                   , 0                      , 0                  , 0                , 2                   , 0                    , 0                 , 0          , 0                      , 0               , 0                  , 0             , 0
beta07burned   , 6              , 1                           , 10                 , 4                    , 5                        , 0                      , 0                 , 2                       , 1                 , 7                     , 0                      , 13                  , 2                  , 0                  , 4                   , 0                , 1                      , 1                    , 0                   , 0                   , 0                       , 0                  , 0                      , 0                    , 0            , 0                   , 0             , 0              , 1                        , 0                 , 0                      , 0                    , 0                             , 1                    , 0                 , 0                    , 0                      , 0                      , 0                     , 1                 , 0                     , 0       , 0                        , 0              , 0                   , 0                 , 0                   , 0                      , 0                  , 0                , 0                   , 0                    , 0                 , 0          , 0                      , 0               , 0                  , 0             , 0
beta07unburned , 3              , 8                           , 9                  , 1                    , 1                        , 1                      , 4                 , 10                      , 0                 , 4                     , 2                      , 4                   , 0                  , 0                  , 3                   , 0                , 1                      , 2                    , 0                   , 0                   , 0                       , 0                  , 0                      , 0                    , 0            , 0                   , 0             , 0              , 0                        , 1                 , 1                      , 3                    , 0                             , 0                    , 0                 , 0                    , 0                      , 0                      , 0                     , 0                 , 0                     , 0       , 0                        , 0              , 0                   , 0                 , 0                   , 1                      , 0                  , 0                , 0                   , 0                    , 0                 , 0          , 0                      , 1               , 0                  , 0             , 0
beta08burned   , 10             , 8                           , 16                 , 1                    , 1                        , 0                      , 0                 , 9                       , 3                 , 3                     , 0                      , 0                   , 3                  , 0                  , 0                   , 0                , 0                      , 0                    , 1                   , 0                   , 0                       , 0                  , 2                      , 0                    , 0            , 0                   , 0             , 0              , 0                        , 0                 , 0                      , 0                    , 0                             , 0                    , 1                 , 0                    , 0                      , 0                      , 0                     , 0                 , 0                     , 2       , 0                        , 0              , 0                   , 0                 , 0                   , 0                      , 0                  , 0                , 0                   , 0                    , 0                 , 0          , 0                      , 0               , 0                  , 0             , 0
beta08unburned , 6              , 1                           , 9                  , 1                    , 0                        , 0                      , 2                 , 23                      , 0                 , 2                     , 0                      , 1                   , 0                  , 8                  , 0                   , 0                , 0                      , 0                    , 1                   , 0                   , 0                       , 0                  , 1                      , 0                    , 0            , 0                   , 0             , 0              , 0                        , 0                 , 2                      , 0                    , 0                             , 1                    , 0                 , 0                    , 0                      , 0                      , 0                     , 1                 , 0                     , 1       , 0                        , 0              , 0                   , 0                 , 0                   , 0                      , 0                  , 0                , 0                   , 0                    , 0                 , 0          , 0                      , 0               , 0                  , 0             , 0
beta09burned   , 11             , 3                           , 9                  , 21                   , 3                        , 0                      , 1                 , 0                       , 2                 , 5                     , 1                      , 1                   , 0                  , 0                  , 0                   , 0                , 0                      , 0                    , 0                   , 0                   , 1                       , 0                  , 0                      , 0                    , 0            , 1                   , 0             , 0              , 0                        , 0                 , 0                      , 0                    , 0                             , 0                    , 0                 , 0                    , 0                      , 0                      , 0                     , 0                 , 0                     , 0       , 0                        , 0              , 1                   , 0                 , 0                   , 0                      , 0                  , 0                , 0                   , 0                    , 0                 , 0          , 0                      , 0               , 0                  , 0             , 0
beta09unburned , 7              , 0                           , 3                  , 9                    , 0                        , 0                      , 0                 , 2                       , 2                 , 4                     , 0                      , 0                   , 0                  , 0                  , 0                   , 23               , 2                      , 0                    , 0                   , 0                   , 2                       , 0                  , 0                      , 0                    , 0            , 0                   , 0             , 0              , 0                        , 0                 , 0                      , 0                    , 0                             , 0                    , 0                 , 2                    , 1                      , 0                      , 0                     , 1                 , 0                     , 0       , 0                        , 2              , 0                   , 0                 , 0                   , 0                      , 0                  , 0                , 0                   , 0                    , 0                 , 0          , 0                      , 0               , 0                  , 0             , 0
beta10burned   , 6              , 14                          , 4                  , 8                    , 3                        , 1                      , 0                 , 1                       , 7                 , 3                     , 0                      , 1                   , 1                  , 0                  , 0                   , 0                , 5                      , 3                    , 0                   , 0                   , 0                       , 0                  , 0                      , 0                    , 0            , 1                   , 0             , 0              , 0                        , 0                 , 0                      , 0                    , 0                             , 0                    , 0                 , 0                    , 0                      , 0                      , 0                     , 0                 , 1                     , 0       , 0                        , 0              , 0                   , 0                 , 0                   , 0                      , 1                  , 0                , 0                   , 0                    , 0                 , 0          , 0                      , 0               , 0                  , 0             , 0
beta10unburned , 13             , 6                           , 2                  , 17                   , 2                        , 2                      , 0                 , 5                       , 3                 , 3                     , 0                      , 0                   , 2                  , 0                  , 0                   , 2                , 0                      , 3                    , 0                   , 0                   , 0                       , 0                  , 0                      , 0                    , 0            , 0                   , 0             , 0              , 0                        , 0                 , 0                      , 0                    , 0                             , 0                    , 0                 , 0                    , 0                      , 0                      , 0                     , 0                 , 0                     , 0       , 0                        , 0              , 0                   , 0                 , 0                   , 0                      , 0                  , 0                , 0                   , 0                    , 0                 , 0          , 0                      , 0               , 0                  , 0             , 0
